RK,Team,REC,PTS,TREND,Poll,Week,Season,CONF,Seed
1,UGA Georgia (46),0-0,1532,NR,,1,2024,,
2,OSU Ohio State (15),0-0,1490,NR,,1,2024,,
3,ORE Oregon (1),0-0,1403,NR,,1,2024,,
4,TEX Texas,0-0,1386,NR,,1,2024,,
5,ALA Alabama,0-0,1260,NR,,1,2024,,
6,MISS Ole Miss,0-0,1189,NR,,1,2024,,
7,ND Notre Dame,0-0,1122,NR,,1,2024,,
8,PSU Penn State,0-0,1060,NR,,1,2024,,
9,MICH Michigan,0-0,995,NR,,1,2024,,
10,FSU Florida State,0-0,971,NR,,1,2024,,
11,MIZ Missouri,0-0,927,NR,,1,2024,,
12,UTAH Utah,0-0,887,NR,,1,2024,,
13,LSU LSU,0-0,804,NR,,1,2024,,
14,CLEM Clemson,0-0,689,NR,,1,2024,,
15,TENN Tennessee,0-0,629,NR,,1,2024,,
16,OU Oklahoma,0-0,566,NR,,1,2024,,
17,OKST Oklahoma State,0-0,538,NR,,1,2024,,
18,KSU Kansas State,0-0,526,NR,,1,2024,,
19,MIA Miami,0-0,492,NR,,1,2024,,
20,TA&M Texas A&M,0-0,292,NR,,1,2024,,
21,ARIZ Arizona,0-0,237,NR,,1,2024,,
22,KU Kansas,0-0,231,NR,,1,2024,,
23,USC USC,0-0,172,NR,,1,2024,,
24,NCSU NC State,0-0,171,NR,,1,2024,,
25,IOWA Iowa,0-0,140,NR,,1,2024,,
1,UGA Georgia (57),1-0,1545,-,,2,2024,,
2,OSU Ohio State (5),1-0,1478,-,,2,2024,,
3,TEX Texas,1-0,1418,1,,2,2024,,
4,ALA Alabama,1-0,1309,1,,2,2024,,
5,ND Notre Dame,1-0,1240,2,,2,2024,,
6,MISS Ole Miss,1-0,1212,-,,2,2024,,
7,ORE Oregon,1-0,1197,4,,2,2024,,
8,PSU Penn State,1-0,1146,-,,2,2024,,
9,MIZ Missouri,1-0,968,2,,2,2024,,
10,MICH Michigan,1-0,935,1,,2,2024,,
11,UTAH Utah,1-0,897,1,,2,2024,,
12,MIA Miami,1-0,893,7,,2,2024,,
13,USC USC,1-0,811,10,,2,2024,,
14,TENN Tennessee,1-0,784,1,,2,2024,,
15,OU Oklahoma,1-0,703,1,,2,2024,,
